"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2350","submitOrder","Suite","Tue Apr 21 21:10:49 UTC 2026","broken","Tue Apr 21 21:10:51 UTC 2026","rahulshettyacademy.tests.SubmitOrderTest","Submit Order Test","rahulshettyacademy.tests.SubmitOrderTest","submitOrder"
"","1370","LoginErrorValidation","Suite","Tue Apr 21 21:10:55 UTC 2026","broken","Tue Apr 21 21:10:56 UTC 2026","rahulshettyacademy.tests.ErrorValidationsTest","Error Validations Test","rahulshettyacademy.tests.ErrorValidationsTest","LoginErrorValidation"
"","1363","submitOrder","Suite","Tue Apr 21 21:10:55 UTC 2026","broken","Tue Apr 21 21:10:57 UTC 2026","rahulshettyacademy.tests.SubmitOrderTest","Submit Order Test","rahulshettyacademy.tests.SubmitOrderTest","submitOrder"
"","0","OrderHistoryTest","Suite","Tue Apr 21 21:10:57 UTC 2026","skipped","Tue Apr 21 21:10:57 UTC 2026","rahulshettyacademy.tests.SubmitOrderTest","Submit Order Test","rahulshettyacademy.tests.SubmitOrderTest","OrderHistoryTest"
"","1337","ProductErrorValidation","Suite","Tue Apr 21 21:11:00 UTC 2026","broken","Tue Apr 21 21:11:01 UTC 2026","rahulshettyacademy.tests.ErrorValidationsTest","Error Validations Test","rahulshettyacademy.tests.ErrorValidationsTest","ProductErrorValidation"
