"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1417","submitOrder","Suite","Tue Apr 21 21:23:29 UTC 2026","broken","Tue Apr 21 21:23:31 UTC 2026","rahulshettyacademy.tests.SubmitOrderTest","Submit Order Test","rahulshettyacademy.tests.SubmitOrderTest","submitOrder"
"","1422","LoginErrorValidation","Suite","Tue Apr 21 21:23:34 UTC 2026","broken","Tue Apr 21 21:23:36 UTC 2026","rahulshettyacademy.tests.ErrorValidationsTest","Error Validations Test","rahulshettyacademy.tests.ErrorValidationsTest","LoginErrorValidation"
"","1421","submitOrder","Suite","Tue Apr 21 21:23:34 UTC 2026","broken","Tue Apr 21 21:23:35 UTC 2026","rahulshettyacademy.tests.SubmitOrderTest","Submit Order Test","rahulshettyacademy.tests.SubmitOrderTest","submitOrder"
"","0","OrderHistoryTest","Suite","Tue Apr 21 21:23:36 UTC 2026","skipped","Tue Apr 21 21:23:36 UTC 2026","rahulshettyacademy.tests.SubmitOrderTest","Submit Order Test","rahulshettyacademy.tests.SubmitOrderTest","OrderHistoryTest"
"","1355","ProductErrorValidation","Suite","Tue Apr 21 21:23:39 UTC 2026","broken","Tue Apr 21 21:23:40 UTC 2026","rahulshettyacademy.tests.ErrorValidationsTest","Error Validations Test","rahulshettyacademy.tests.ErrorValidationsTest","ProductErrorValidation"
