"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3259","ProductErrorValidation","Suite","Tue Apr 21 21:52:22 UTC 2026","passed","Tue Apr 21 21:52:26 UTC 2026","rahulshettyacademy.tests.ErrorValidationsTest","Error Validations Test","rahulshettyacademy.tests.ErrorValidationsTest","ProductErrorValidation"
"","4079","submitOrder","Suite","Tue Apr 21 21:52:26 UTC 2026","passed","Tue Apr 21 21:52:30 UTC 2026","rahulshettyacademy.tests.SubmitOrderTest","Submit Order Test","rahulshettyacademy.tests.SubmitOrderTest","submitOrder"
"","871","OrderHistoryTest","Suite","Tue Apr 21 21:52:34 UTC 2026","passed","Tue Apr 21 21:52:35 UTC 2026","rahulshettyacademy.tests.SubmitOrderTest","Submit Order Test","rahulshettyacademy.tests.SubmitOrderTest","OrderHistoryTest"
"","4331","submitOrder","Suite","Tue Apr 21 21:52:18 UTC 2026","passed","Tue Apr 21 21:52:22 UTC 2026","rahulshettyacademy.tests.SubmitOrderTest","Submit Order Test","rahulshettyacademy.tests.SubmitOrderTest","submitOrder"
"","701","LoginErrorValidation","Suite","Tue Apr 21 21:52:18 UTC 2026","passed","Tue Apr 21 21:52:18 UTC 2026","rahulshettyacademy.tests.ErrorValidationsTest","Error Validations Test","rahulshettyacademy.tests.ErrorValidationsTest","LoginErrorValidation"
