"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1304","LoginErrorValidation","Suite","Tue Apr 21 21:47:52 UTC 2026","passed","Tue Apr 21 21:47:53 UTC 2026","rahulshettyacademy.tests.ErrorValidationsTest","Error Validations Test","rahulshettyacademy.tests.ErrorValidationsTest","LoginErrorValidation"
"","3195","ProductErrorValidation","Suite","Tue Apr 21 21:47:57 UTC 2026","passed","Tue Apr 21 21:48:00 UTC 2026","rahulshettyacademy.tests.ErrorValidationsTest","Error Validations Test","rahulshettyacademy.tests.ErrorValidationsTest","ProductErrorValidation"
"","24018","submitOrder","Suite","Tue Apr 21 21:48:01 UTC 2026","broken","Tue Apr 21 21:48:25 UTC 2026","rahulshettyacademy.tests.SubmitOrderTest","Submit Order Test","rahulshettyacademy.tests.SubmitOrderTest","submitOrder"
"","4208","submitOrder","Suite","Tue Apr 21 21:47:53 UTC 2026","passed","Tue Apr 21 21:47:57 UTC 2026","rahulshettyacademy.tests.SubmitOrderTest","Submit Order Test","rahulshettyacademy.tests.SubmitOrderTest","submitOrder"
"","0","OrderHistoryTest","Suite","Tue Apr 21 21:48:25 UTC 2026","skipped","Tue Apr 21 21:48:25 UTC 2026","rahulshettyacademy.tests.SubmitOrderTest","Submit Order Test","rahulshettyacademy.tests.SubmitOrderTest","OrderHistoryTest"
