"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","OrderHistoryTest","Suite","Tue Apr 21 20:53:40 UTC 2026","skipped","Tue Apr 21 20:53:40 UTC 2026","rahulshettyacademy.tests.SubmitOrderTest","Submit Order Test","rahulshettyacademy.tests.SubmitOrderTest","OrderHistoryTest"
"","1431","submitOrder","Suite","Tue Apr 21 20:53:33 UTC 2026","broken","Tue Apr 21 20:53:34 UTC 2026","rahulshettyacademy.tests.SubmitOrderTest","Submit Order Test","rahulshettyacademy.tests.SubmitOrderTest","submitOrder"
"","1367","ProductErrorValidation","Suite","Tue Apr 21 20:53:44 UTC 2026","broken","Tue Apr 21 20:53:45 UTC 2026","rahulshettyacademy.tests.ErrorValidationsTest","Error Validations Test","rahulshettyacademy.tests.ErrorValidationsTest","ProductErrorValidation"
"","1388","submitOrder","Suite","Tue Apr 21 20:53:39 UTC 2026","broken","Tue Apr 21 20:53:40 UTC 2026","rahulshettyacademy.tests.SubmitOrderTest","Submit Order Test","rahulshettyacademy.tests.SubmitOrderTest","submitOrder"
"","1378","LoginErrorValidation","Suite","Tue Apr 21 20:53:38 UTC 2026","broken","Tue Apr 21 20:53:40 UTC 2026","rahulshettyacademy.tests.ErrorValidationsTest","Error Validations Test","rahulshettyacademy.tests.ErrorValidationsTest","LoginErrorValidation"
