"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1038","LoginErrorValidation","Suite","Tue Apr 21 21:31:31 UTC 2026","passed","Tue Apr 21 21:31:32 UTC 2026","rahulshettyacademy.tests.ErrorValidationsTest","Error Validations Test","rahulshettyacademy.tests.ErrorValidationsTest","LoginErrorValidation"
"","3195","submitOrder","Suite","Tue Apr 21 21:31:37 UTC 2026","broken","Tue Apr 21 21:31:40 UTC 2026","rahulshettyacademy.tests.SubmitOrderTest","Submit Order Test","rahulshettyacademy.tests.SubmitOrderTest","submitOrder"
"","2598","submitOrder","Suite","Tue Apr 21 21:31:31 UTC 2026","broken","Tue Apr 21 21:31:33 UTC 2026","rahulshettyacademy.tests.SubmitOrderTest","Submit Order Test","rahulshettyacademy.tests.SubmitOrderTest","submitOrder"
"","0","OrderHistoryTest","Suite","Tue Apr 21 21:31:40 UTC 2026","skipped","Tue Apr 21 21:31:40 UTC 2026","rahulshettyacademy.tests.SubmitOrderTest","Submit Order Test","rahulshettyacademy.tests.SubmitOrderTest","OrderHistoryTest"
"","2172","ProductErrorValidation","Suite","Tue Apr 21 21:31:36 UTC 2026","broken","Tue Apr 21 21:31:38 UTC 2026","rahulshettyacademy.tests.ErrorValidationsTest","Error Validations Test","rahulshettyacademy.tests.ErrorValidationsTest","ProductErrorValidation"
