"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4677","submitOrder","Suite","Tue Apr 21 21:37:30 UTC 2026","broken","Tue Apr 21 21:37:35 UTC 2026","rahulshettyacademy.tests.SubmitOrderTest","Submit Order Test","rahulshettyacademy.tests.SubmitOrderTest","submitOrder"
"","703","LoginErrorValidation","Suite","Tue Apr 21 21:37:30 UTC 2026","passed","Tue Apr 21 21:37:31 UTC 2026","rahulshettyacademy.tests.ErrorValidationsTest","Error Validations Test","rahulshettyacademy.tests.ErrorValidationsTest","LoginErrorValidation"
"","3562","ProductErrorValidation","Suite","Tue Apr 21 21:37:35 UTC 2026","passed","Tue Apr 21 21:37:39 UTC 2026","rahulshettyacademy.tests.ErrorValidationsTest","Error Validations Test","rahulshettyacademy.tests.ErrorValidationsTest","ProductErrorValidation"
"","0","OrderHistoryTest","Suite","Tue Apr 21 21:37:45 UTC 2026","skipped","Tue Apr 21 21:37:45 UTC 2026","rahulshettyacademy.tests.SubmitOrderTest","Submit Order Test","rahulshettyacademy.tests.SubmitOrderTest","OrderHistoryTest"
"","4363","submitOrder","Suite","Tue Apr 21 21:37:40 UTC 2026","broken","Tue Apr 21 21:37:44 UTC 2026","rahulshettyacademy.tests.SubmitOrderTest","Submit Order Test","rahulshettyacademy.tests.SubmitOrderTest","submitOrder"
